tweet
"Notre France ne sera jamais celle de Zemmour et des déclinistes, nostalgiques d’une société patriarcale qui n’est plus, persuadés que c’était mieux hier et que ce sera pire demain. Notre France c’est celle d’une Marie Curie, d’une Genevieve Anthonioz-Gaulle, d’une Simone Veil! pic.twitter.com/i0dqVDB1YE"
"Le #NouveauRéseauBusParisien, c’est : la création de nouvelles lignes, de nouvelles liaisons, et une répartition des lignes mieux adaptée 👉 10 000 agents RATP seront mobilisés pour vous guider ! ➡️  http://bit.ly/2BpsZXE  pic.twitter.com/kRYRMT0dAL"
"Pour construire et préparer cette alternance, j’ai besoin de vous. #voeuxLibres pic.twitter.com/rtNddX3Np1"
"Le deuxième pont, c’est le Pacte pour les quartiers populaires, Nous encourageons les maires bâtisseurs avec une seule règle intangible : pas plus de 30% de logements très sociaux au même endroit. #voeuxIDF pic.twitter.com/E82XHaIk1k"
"Notre #RégionSolidaire lance des ponts entre les territoires. Le premier pont, c’est le Pacte rural pour améliorer la qualité de vie des 2 millions de Franciliens des territoires ruraux. #voeuxIDF pic.twitter.com/1hR9Hgwcap"
"La #CornicheDesForts, c’est un vrai projet écologique et social : offrir à chaque Francilien des espaces verts à moins d’un quart d’heure de chez lui. #voeuxIDF pic.twitter.com/Dek1yln2ET"
"Nous allons aussi ouvrir des centaines d’hectares d’espaces verts aux habitants de @seinesaintdenis et du @valdemarne_94 qui en sont tellement privés. Le Bois Saint-Martin que nous allons racheter à Noisy-le-Grand, c’est 280 hectares aujourd’hui fermés au public. #voeuxIDF pic.twitter.com/Cp4eJGgc3K"
"« La ville, l’homme et la nature » sera le thème de la première biennale d’architecture et du paysage que nous organisons à @Versailles du 3 mai au 13 juillet, pour célébrer l’anniversaire des 10 ans du Grand Paris. #voeuxIDF pic.twitter.com/1dhPCPyPQJ"
"Nous nous donnons les moyens de faire de l’@iledefrance une vraie Région multilingue avec la plateforme #QIOZ, que nous lancerons au Printemps. #voeuxIDF pic.twitter.com/NlnHVAbEcq"
"Nous allons développer des Digitales Académies c’est à dire des classes dans les lycées permettant de préparer un diplôme universitaire à distance. Après @Ville2Montereau, qui fut pilote, @ChanteloupLV, @VilledeGarges, Beaumont-sur-Oise relaieront cette belle initiative #voeuxIDF pic.twitter.com/fj1uodeVIe"
"Je le dis à l’Etat qui, pour la 2e fois, cette année, n’a pas tenu ses engagements financiers du Contrat de Plan Etat Région. La #RégionIDF ne pourra pas indéfiniment se substituer à lui. Notre priorité est claire : c’est la qualité de vie des Franciliens avant tout. #voeuxIDF pic.twitter.com/fQPVH5oL6Q"
"Je le dis aux constructeurs @AlstomFrance et @Bombardier : quand on a le privilège d’avoir 10 milliards de commande publique, on a l’obligation d’être à l’heure. Je le dis aussi à @SNCFReseau qui est en charge des travaux. Les chantiers doivent être livrés à temps. #voeuxIDF pic.twitter.com/X6rGCn9SyY"
Elle oblige la #RégionIDF qui est rendez-vous de ses engagements et des financements pour les #transportsIDF. Elle oblige aussi nos partenaires à être au rendez-vous. #voeuxIDF pic.twitter.com/bUP8Xp8mE0
"Un renfort inédit des lignes de bus, avec une commande de 1 000 bus électriques à Paris. Mais, il reste tant à faire. #voeuxIDF pic.twitter.com/YfyZaxsu1J"
"Dans les #transportsIDF, les premiers résultats sont là : 300 rames neuves ou rénovées, 5 points de ponctualité de plus sur le RER A, la ligne L et bientôt j’espère sur la ligne D. #voeuxIDF pic.twitter.com/WXDe1mRD8i"
"La solidarité, elle se lit enfin dans une politique tarifaire juste. C’est pour cela que nous avons voulu réparer la dernière injustice tarifaire, en créant, cette année, un pass #navigo senior à tarif réduit. #voeuxIDF pic.twitter.com/RSpzaVFciS"
"Avec les #transportsIDF, nous sommes les premiers acteurs de la transition écologique. Je n’ai jamais cru à une écologie punitive, qui interdit et qui taxe. Je défends au contraire, une écologie sociale et positive, qui accompagne le changement et qui croit au progrès. #voeuxIDF pic.twitter.com/6TFspw5njk"
Il est absolument incompréhensible que face à ce succès qui est le nôtre l’Etat ait décidé de retirer cette compétence aux Régions pour la donner à des branches professionnelles qui ne sont pas outillées pour garantir l’égalité des territoires ni l’égal accès à tous les métiers. pic.twitter.com/wtojhvkYME
"Nous pouvons afficher en 2018, 10 000 apprentis de plus qu’en 2015, franchissant la barre symbolique des 90 000. #voeuxIDF pic.twitter.com/xPcBJKIsaW"
"Le deuxième défi, c’est de créer des richesses dans tous les territoires. Pour la première fois depuis 30 ans, l’@iledefrance est la Région préférée des investisseurs en #Europe. Près de 450 entreprises ont déjà investi chez nous, créant 8 000 emplois directs. #voeuxIDF pic.twitter.com/C0ZKynrc7I"
"En 2019, nous signerons un partenariat inédit pour faire patrouiller des centaines de gendarmes réservistes dans les bus et les trains, en renfort de la Police Régionale des Transports. #voeuxIDF pic.twitter.com/6O93wMP7TG"
"Contre la guerre des bandes qui sévit jusque dans les lycées, nous allons créer des Brigades Mobiles de Sécurité Régionales en lien avec les rectorats. #voeuxIDF pic.twitter.com/XGUOg788NP"
"La #RégionSolidaire, c’est garantir le même droit à la sécurité, où que l’on vive, et partout sur le territoire Francilien. #voeuxIDF pic.twitter.com/d3rHFGOBPf"
"Je veux placer cette année sous le signe de la #RégionSolidaire. Qui fait le lien entre les territoires et les générations. Dès 2015, nous avons placé le mandat sous le signe de la lutte contre les fractures. #voeuxIDF pic.twitter.com/63UcIPsY1G"
Vous pensez limiter vos déplacements demain en prévision des intempéries de #Neige ?    💻 Découvrez la carte des espaces de #coworking franciliens pour trouver où travailler près de chez vous. #Gabriel https://www.iledefrance.fr/toutes-les-actualites/trouver-un-espace-de-teletravail-ile-de-france …
"Heureuse et soulagée que la Cour Suprême du Pakistan ait validé l’acquittement d’Asia Bibi, je lui souhaite de retrouver sa famille en paix #FreeAsiaBibi https://www.20minutes.fr/monde/2438571-20190129-pakistan-cour-supreme-valide-acquittement-asia-bibi …"
Le déménagement en Seine-Saint-Denis c’est fait. Les économies sur le train de vie de la région ça continue. Nous faisons plus et mieux sans augmenter la fiscalité régionale depuis quatre ans! https://www.lemonde.fr/politique/article/2019/01/28/la-region-ile-de-france-vend-trois-de-ses-batiments-pour-176-millions-d-euros_5415870_823448.html …
La visioconférence enfin pratiquée par la région pour éviter des temps de transports inutiles. Bravo @beaudetstephane !@VilledEvryCourc https://twitter.com/beaudetstephane/status/1090186258083704832 …
"Au comité départemental des Yvelines à Poissy, avec @ADublanche en charge du projet, une lourde responsabilité, et @othmannasrou en charge de préparer les municipales, un grand défi... pic.twitter.com/4wSCWpAIVj"
"Michel Legrand nous a quitté et nous sommes tellement t tristes de l’avoir perdu. Mes pensées affectueuses à Macha Meril, sa famille et ses proches. https://www.youtube.com/watch?v=DK81gpf64iI …"
« Je ne serai jamais du côté de ceux qui prônent la violence. Face au chaos vous êtes notre bouclier ». J’ai présenté aujourd’hui mes vœux aux forces de sécurité. #SécuritéIDF pic.twitter.com/p9CcPeeKlK
Avec @karampatrick nous développons les équipements sportifs dans les communes d'@iledefrance afin de permettre à chacun de faire du sport près de chez soi. #SportIDF http://www.leparisien.fr/seine-et-marne-77/la-region-veut-des-equipements-sportifs-dans-toute-l-ile-de-france-23-01-2019-7995039.php …
Scandalisée par le violent passage à tabac d’un lycéen & les blessures d’un surveillant au lycée Henri-Poincaré #Palaiseau. J’attends des sanctions exemplaires pour les voyous en cause. La région va recruter des brigades mobiles de sécurité pour ses lycées https://france3-regions.francetvinfo.fr/paris-ile-de-france/essonne/palaiseau-eleve-agresse-batte-base-ball-au-lycee-henri-poincare-14-mineurs-interpelles-1611953.html …
"Après une expérimentation dans le Val de Marne nous généraliserons le #PassSenior à moitié prix, une mesure de justice tarifaire & de lutte contre la pollution demandée par ⁦@durovray⁩ ⁦@PSeptiers⁩ ⁦@mc_cavecchi⁩ ⁦@StephanTroussel⁩ http://www.leparisien.fr/info-paris-ile-de-france-oise/transports/ile-de-france-une-carte-navigo-a-moitie-prix-pour-tous-les-seniors-d-ici-la-fin-de-l-annee-21-01-2019-7993656.php …"
La région Ile-de-France s’engage à fond pour attirer les investisseurs et créer de l’emploi #ChooseFranceSummit #chooseParisRegion @ParisRegionNow pic.twitter.com/fOfWbXnh9X
"La campagne 2019 contre le harcèlement sexuel dans les transports est relancée, avec un seul mot d’ordre : ALERTEZ! #Alerte3117 #SMS31177 https://twitter.com/IDFmobilites/status/1087296611624071168 …"
"Bravo @nordineoubaali pour ce titre magnifique de champion du monde de boxe, dont nous sommes tous fiers!  @Ali_Oubaali https://twitter.com/nordineoubaali/status/1086971153594277888 …"
"Contre le deal de #Crack dans le métro: la région & @IDFmobilites se mobilisent pour renforcer la sécurité en finançant 100 agents de sûreté supplémentaires pour @RATPgroup, & en donnant plus de moyens aux associations pour prendre en charge les toxicomanes & les sortir du metro https://twitter.com/IDFmobilites/status/1085833922154422272 …"
Les Franciliens ont voté: voici le design du métro du futur qui roulera à partir de 2025 sur nos nouvelles lignes! https://twitter.com/IDFmobilites/status/1084741351202275328 …
Très choquée par les violences déchaînées contre les journalistes @LCI. Ce passage à tabac n’a rien à voir avec le droit de manifester. On attend de la justice des sanctions d’une extrême fermeté contre leurs auteurs ! https://twitter.com/paris_normandie/status/1084131549405167617 …
"Bouleversée par l’annonce du décès de 2 @PompiersParis qui ont payé de leur vie leur dévouement au service de leurs concitoyens, en tentant d’arrêter la fuite de gaz de la boulangerie de #Trévise. Hommage  à nos soldats du feu, à leur cœur et leur bravoure! @PompiersFR"
"En solidarité après l’explosion de sa boulangerie, la région a proposé à la maire du 9e arrdt de Paris, Delphine Burkli, de reloger ses habitants à la rue, dans l’hôtel Fortuny & dans les logements de fonction du lycée Lazare Ponticcelli, actuellement inoccupés @dburkli"
"De tout cœur aux côtés des Parisiens et des ⁦@PompiersParis, vic⁩times d’une terrible explosion due au gaz dans une boulangerie du 9e. Je pense à leurs familles et à leurs proches @dburkli⁩ https://www.ladepeche.fr/article/2019/01/12/2939064-paris-forte-explosion-dans-une-boulangerie-plusieurs-blesses.html …"
🚉 @le_Parisien a testé le smart #Navigo que nous avons lancé à @IDFmobilites : votre pass navigo sur votre smartphone. Soyez testeur de cette nouvelle application qui sera disponible dès cette année. #SmartRegion pic.twitter.com/p4GtMfaKPu
Nous lançons notre stratégie pour développer les actions de l’économie sociale et solidaire en Ile-de-France afin de donner une deuxième chance aux Franciliens qui en ont besoin #RegionSolidaire https://www.lesechos.fr/pme-regions/actualite-pme/0600383172606-lile-de-france-veut-rattraper-son-retard-dans-leconomie-sociale-et-solidaire-2234563.php …
"Félicitations à @beaudetstephane pour sa belle élection à la mairie @VilledEvryCourc ! Une fusion exemplaire, pour donner naissance à une ville nouvelle puissante, et dont on espère qu’elle fera école en Ile-de-France..."
"Ils s’appelaient Yohan Cohen, Philippe Braham, François-Michel Saada et Yoav Hattab, ils ont été tués, il y a 4 ans, à l’#HyperCasher de Saint-Mandé, victimes du terrorisme islamiste, parce qu’ils étaient juifs. Nous ne les oublions pas."
"Départ de Mariani au FN : tout le monde savait et personne n’a rien fait! Des mois que je demandais son exclusion des LR, comme celle de tous les « fusionnistes » qui ne proposent rien d’autre que la disparition de notre famille politique. https://www.20minutes.fr/politique/2411099-20190108-europeennes-thierry-mariani-quitte-republicains-rejoint-liste-rassemblement-national …"
"Lancer une cagnotte pour l’ultra-violent boxeur de gendarme, quelle honte! A quand une cagnotte de soutien pour les membres des force de l’ordre victimes d‘émeutiers et de casseurs? https://www.lci.fr/politique/cagnotte-leetchi-pour-boxeur-christophe-dettinger-irrite-le-montant-total-masque-par-les-organisateurs-2109509.html …"
Bravo aux clubs franciliens qui impriment leur marque sur la coupe de France:  @Entente_SSG @Viryofficiel #Noisy-le-Grand !
"Quatre ans après, restons #ToujoursCharlie, mobilisés contre le terrorisme, la haine, l’islamisme radical et l’antisémitisme #CharlieHebdo #Hypercasher http://www.lefigaro.fr/culture/2019/01/07/03004-20190107ARTFIG00235-quatre-ans-apres-charlie-hebdo-riss-temoigne-l-epoque-est-fragile-pour-la-democratie.php …"
"Pour calmer la colère des Francais @EmmanuelMacron a une impérieuse exigence de résultats: baisse des impôts, meilleurs services publics, retour à l’ordre. Pour cela, l’Etat doit lâcher prise et faire enfin confiance aux collectivités https://www.lejdd.fr/Politique/valerie-pecresse-au-jdd-le-mouvement-des-gilets-jaunes-nest-pas-termine-3832898 …"
"Entier soutien à nos forces de l’ordre durement eprouvees: quand un gendarme est frappé à terre, ce sont nos institutions que l’on atteint! http://www.lefigaro.fr/flash-actu/2019/01/05/97001-20190105FILWWW00106-un-gilet-jaune-filme-en-train-de-frapper-un-gendarme.php …"
"Aucune colère ne peut justifier les déferlements de violence auxquels nous avons assisté aujourd’hui, par des casseurs d’une grande brutalité. Je les déplore et les condamne. https://www.leparisien.fr/faits-divers/acte-8-des-gilets-jaunes-des-heurts-a-paris-rouen-caen-et-montpellier-05-01-2019-7981395.php …"
"Nous lançons le Passe Navigo sur smartphone, rechargeable à distance. Soyez Testeur de cette nouvelle application #SmartRegion https://twitter.com/RATPgroup/status/1080404789106827269 …"
"Je demande ⁦@jmblanquer⁩ de lancer à la rentrée 2019 une expérimentation régionale: faire commencer tous les cours des lycées à 9h. Ce sera bon pour les apprentissages & la santé de nos 500 000 lycéens, et ça désaturera les transports  http://www.lefigaro.fr/sciences/2019/01/02/01008-20190102ARTFIG00161-commencer-les-cours-plus-tard-fait-du-bien-aux-lyceens.php … via @Le_Figaro"
"Je me suis battue pour l’obtenir sans relâche depuis trois ans, avec le soutien de @JeanROTTNER, de #ChristianJacob, de @JLTHIERIOT et @PSeptiers : l’électrification de Paris-Provins est enfin lancée !#LigneP https://twitter.com/Asso_usagersidf/status/1080157658458525696 …"
"Bon réveillon à tous et toutes! Avec un grand merci à nos forces de l’ordre, aux services de secours et de santé, aux agents des transports, aux bénévoles associatifs, qui ce soir seront mobilisés au service des Français #BonneAnnee2019"
"Avec @SoyonsLibres nous travaillerons à proposer en 2019 des solutions innovantes pour notre pays: des réformes pour baisser les impôts, restaurer l’autorité de la loi, donner à chacun sa chance et retrouver la cohésion nationale. Meilleurs vœux à tous ! #BonneAnnée2019 (2/2) pic.twitter.com/pyUQFdg5jb"
"Après cette fin d’année si tendue, je vous souhaite chaleureusement une #BonneAnnée2019, de sérénité retrouvée et de réussite. Vous pouvez compter sur moi pour œuvrer, sans relâche, à améliorer votre qualité de vie, soutenir vos projets et lutter contre les fractures (1/2) pic.twitter.com/1LvTpQ2vud"
"J’apprends avec tristesse la nouvelle d’un incendie mortel à #Bobigny: mes pensées vont aux victimes, à leur famille et à leurs proches."
"Ile-de-France Mobilités vous souhaite de bonnes fêtes de fin d’année : pour le #NouvelAn, nuit festive avec les transports franciliens gratuits et ouverts toute la nuit. https://twitter.com/IDFmobilites/status/1078279421616893952 …"
"Ce soir, que le message d’amour & de fraternité de Noël fasse reculer les violences et les injustices. Je pense aux Chrétiens persécutés qui ne peuvent vivre librement leur foi. Mais aussi à tous ceux qui sont isolés ou souffrants. À vous tous, beau et joyeux Noël!"
"Bravo aux équipes du #Recueilsocial de @RATPgroup qui s’occupent avec beaucoup de dévouement de toutes les personnes sans abri des #Métro & #RER, en leur trouvant des solutions d’hébergement. Réflexions instructives avec les agents sur des propositions pour améliorer la situation https://twitter.com/IDFmobilites/status/1076970235054485504 …"
"Santé, moins de pollution, économies: voici le vélo électrique à garer chez vous. @IDFmobilites met 20 000 #veligo électriques en location à 40 €/mois (20€ après remboursement employeur). Le vélo électrique à Paris comme en banlieue, dès septembre  2019 ce sera possible! https://twitter.com/IDFmobilites/status/1076815685781663744 …"
"La violence recommence et se radicalise. Le mouvement des #giletsjaunes détourné pour poursuivre des actes de pillage et de saccage à Paris. Soutien total aux forces de l’ordre prises à parti, je demande des sanctions exemplaires contre ces dérives!"
Soutien total à La prix Nobel ⁦@NadiaMuradBasee⁩ et au peuple Yezidi. Martyrisés par l’Etat islamiste ils veulent reconstruire leur territoire en Irak @lemondefr https://www.lemonde.fr/televisions-radio/article/2018/12/09/nadia-murad-voix-yezidie-d-un-peuple-meurtri_5394942_1655027.html …
"Après l’A15 & l’effondrement du viaduc de Genevilliers l’Etat se trouve obligé de fermer, par précaution, une voie de la N118 au Pont de Sèvres. La clarté doit être faite sur les responsabilités de ce défaut d’entretien qui va plonger dans la galère tant de Franciliens!"
"Dans le cadre de notre grande cause régionale 2018, la lutte contre le décrochage scolaire, la région s’engage sur les solutions en partenariat avec #BleuBlancZebres ⁦#UniCites #Telemaque ⁦@essec⁩ ⁦@CatherineArenou⁩ ⁦@JPAcensi⁩ http://www.leparisien.fr/essonne-91/ile-de-france-grigny-lance-la-mobilisation-contre-le-decrochage-scolaire-20-12-2018-7973817.php …"
"Un dysfonctionnement de plus sur la dernière ligne non électrifiée de la région, qui mériterait pourtant d’être placée au rang de priorité par la SNCF! #LigneP @Actu_Transilien https://twitter.com/beaudetstephane/status/1075323698721275904 …"
"Compte tenu de la privatisation annoncée du concessionnaire des aéroports d’île-de-france, et pour pouvoir mieux défendre les intérêts des Franciliens, la région demande au gouvernement de se voir attribuer un siège de censeur au Conseil d’Administration de @GroupeADP https://twitter.com/iledefrance/status/1075384109541875719 …"
"Sage décision de police des séances de @jeromechartier. L’invective et l’insulte sont déjà trop présentes dans nos hémicycles, la violence n’y a pas sa place #Démocratie #Respect https://twitter.com/iledefrance/status/1075176284651692032 …"
"La région se mobilise sans délai pour aider les commerçants et les artisans victimes des violences et des pillages des derniers week-ends et vote un fonds d’urgence de 1 M€. Ils s’ajoutent à 1,5M€ de crédits débloqués pour réparer les dégâts dans les lycées! Quel gâchis... pic.twitter.com/eSA12PqjDp"
Collecte de jouets et de matériels de puériculture à la région aujourd’hui pour les mamans et les enfants à la rue ⁦@ElinaDumont⁩ pic.twitter.com/nEWp15C4GM
Un magnifique projet dont nous sommes fiers d’être les partenaires!#casbah #Alger @ateliersjnouvel https://twitter.com/ateliersjnouvel/status/1074389371548303364 …
"Nous allons accueillir cet hiver au siège vide de la région, aux Invalides, des jeunes mères à la rue, en partenariat avec les maternités & @CroixRouge. Avec @ElinaDumont nous créons un site pilote pour les sortir de l’exclusion. Nous appelons les entreprises à nous imiter ! https://twitter.com/iledefrance/status/1074644186023059456 …"
"À un moment où les Français exigent que nous fassions un meilleur usage de l’argent du contribuable, la région poursuit ses économies de fonctionnement et investit massivement pour ses priorités transports, lycées, écologie, solidarité! https://twitter.com/iledefrance/status/1074593480025038848 …"
"Un partenariat passionnant: l’île de France devient partenaire de la rénovation de la Casbah d’Alger, avec Jean Nouvel et ⁦@iauidf⁩. Bravo au Wali #Zouk pour son projet visionnaire! pic.twitter.com/PWPcCGuHh9"
"Moment d’intense émotion: au monastère de #Tibhirine, je viens rendre hommage aux 7 moines français morts en martyrs et béatifiés la semaine dernière à Oran. Confrontés à la menace du terrorisme islamiste ils avaient choisi de rester par amour des Algériens et de l’Algérie. pic.twitter.com/DV7MIjBXJy"
"5 Milliards d’euros: c’est le plan d’urgence que j’ai lancé en 2017 UNIQUEMENT pour les lycées publics d’Ile-de-France (soit 2,5 fois plus que ce que la majorité précédente du conseil régional avait prévu de dépenser sur les dix prochaines années! ) #Desintox"
Toutes mes félicitations aux forces de l’ordre pour avoir retrouvé si rapidement et mis hors d’état de nuire le terroriste meurtrier de #Strasbourg. https://www.leparisien.fr/faits-divers/attentat-de-strasbourg-cherif-chekatt-neutralise-par-les-force-de-l-ordre-13-12-2018-7968120.php …
Le gouvernement ne doit plus tergiverser: les fichés S pour radicalisation doivent être déférés devant la justice pour « intelligence avec l’ennemi » & mis hors d’état de nuire. Il faut nous armer pénalement contre le terrorisme islamiste qui nous a déclaré une guerre sans merci!
